All 660 characters (least → most frequent) — TRAIN SET
      U+  repr           count       %  name
  U+0143  'Ń'                1   0.00%  LATIN CAPITAL LETTER N WITH ACUTE
  U+00CD  'Í'                1   0.00%  LATIN CAPITAL LETTER I WITH ACUTE
  U+00D3  'Ó'                1   0.00%  LATIN CAPITAL LETTER O WITH ACUTE
  U+0118  'Ę'                1   0.00%  LATIN CAPITAL LETTER E WITH OGONEK
  U+30CE  'ノ'                1   0.00%  KATAKANA LETTER NO
  U+30A2  'ア'                1   0.00%  KATAKANA LETTER A
  U+30FB  '・'                1   0.00%  KATAKANA MIDDLE DOT
  U+6D77  '海'                1   0.00%  CJK UNIFIED IDEOGRAPH-6D77
  U+8CCA  '賊'                1   0.00%  CJK UNIFIED IDEOGRAPH-8CCA
  U+72E9  '狩'                1   0.00%  CJK UNIFIED IDEOGRAPH-72E9
  U+00A4  '¤'                1   0.00%  CURRENCY SIGN
  U+5A01  '威'                1   0.00%  CJK UNIFIED IDEOGRAPH-5A01
  U+5C31  '就'                1   0.00%  CJK UNIFIED IDEOGRAPH-5C31
  U+6B64  '此'                1   0.00%  CJK UNIFIED IDEOGRAPH-6B64
  U+5DE5  '工'                1   0.00%  CJK UNIFIED IDEOGRAPH-5DE5
  U+4F5C  '作'                1   0.00%  CJK UNIFIED IDEOGRAPH-4F5C
  U+5E73  '平'                1   0.00%  CJK UNIFIED IDEOGRAPH-5E73
  U+5747  '均'                1   0.00%  CJK UNIFIED IDEOGRAPH-5747
  U+4EF7  '价'                1   0.00%  CJK UNIFIED IDEOGRAPH-4EF7
  U+21BB  '↻'                1   0.00%  CLOCKWISE OPEN CIRCLE ARROW
  U+1F31F  '🌟'                1   0.00%  GLOWING STAR
  U+1F495  '💕'                1   0.00%  TWO HEARTS
  U+1F62C  '😬'                1   0.00%  GRIMACING FACE
  U+1F60E  '😎'                1   0.00%  SMILING FACE WITH SUNGLASSES
  U+1F60F  '😏'                1   0.00%  SMIRKING FACE
  U+1F60A  '😊'                1   0.00%  SMILING FACE WITH SMILING EYES
  U+1F525  '🔥'                1   0.00%  FIRE
  U+1F4AF  '💯'                1   0.00%  HUNDRED POINTS SYMBOL
  U+23F3  '⏳'                1   0.00%  HOURGLASS WITH FLOWING SAND
  U+30BD  'ソ'                1   0.00%  KATAKANA LETTER SO
  U+30B7  'シ'                1   0.00%  KATAKANA LETTER SI
  U+30E3  'ャ'                1   0.00%  KATAKANA LETTER SMALL YA
  U+30EB  'ル'                1   0.00%  KATAKANA LETTER RU
  U+75B2  '疲'                1   0.00%  CJK UNIFIED IDEOGRAPH-75B2
  U+308C  'れ'                1   0.00%  HIRAGANA LETTER RE
  U+308B  'る'                1   0.00%  HIRAGANA LETTER RU
  U+9593  '間'                1   0.00%  CJK UNIFIED IDEOGRAPH-9593
  U+3067  'で'                1   0.00%  HIRAGANA LETTER DE
  U+30EA  'リ'                1   0.00%  KATAKANA LETTER RI
  U+30A9  'ォ'                1   0.00%  KATAKANA LETTER SMALL O
  U+3068  'と'                1   0.00%  HIRAGANA LETTER TO
  U+304B  'か'                1   0.00%  HIRAGANA LETTER KA
  U+304C  'が'                1   0.00%  HIRAGANA LETTER GA
  U+5C11  '少'                1   0.00%  CJK UNIFIED IDEOGRAPH-5C11
  U+76EE  '目'                1   0.00%  CJK UNIFIED IDEOGRAPH-76EE
  U+306B  'に'                1   0.00%  HIRAGANA LETTER NI
  U+3063  'っ'                1   0.00%  HIRAGANA LETTER SMALL TU
  U+3066  'て'                1   0.00%  HIRAGANA LETTER TE
  U+3044  'い'                1   0.00%  HIRAGANA LETTER I
  U+7533  '申'                1   0.00%  CJK UNIFIED IDEOGRAPH-7533
  U+8A33  '訳'                1   0.00%  CJK UNIFIED IDEOGRAPH-8A33
  U+3042  'あ'                1   0.00%  HIRAGANA LETTER A
  U+305B  'せ'                1   0.00%  HIRAGANA LETTER SE
  U+3093  'ん'                1   0.00%  HIRAGANA LETTER N
  U+1F953  '🥓'                1   0.00%  BACON
  U+1F64B  '🙋'                1   0.00%  HAPPY PERSON RAISING ONE HAND
  U+1F3FB  '🏻'                1   0.00%  EMOJI MODIFIER FITZPATRICK TYPE-1-2
  U+1F61C  '😜'                1   0.00%  FACE WITH STUCK-OUT TONGUE AND WINKING EYE
  U+0995  'ক'                1   0.00%  BENGALI LETTER KA
  U+09B2  'ল'                1   0.00%  BENGALI LETTER LA
  U+09AA  'প'                1   0.00%  BENGALI LETTER PA
  U+09AC  'ব'                1   0.00%  BENGALI LETTER BA
  U+09C7  'ে'                1   0.00%  BENGALI VOWEL SIGN E
  U+09B7  'ষ'                1   0.00%  BENGALI LETTER SSA
  U+09A3  'ণ'                1   0.00%  BENGALI LETTER NNA
  U+0935  'व'                1   0.00%  DEVANAGARI LETTER VA
  U+0936  'श'                1   0.00%  DEVANAGARI LETTER SHA
  U+0937  'ष'                1   0.00%  DEVANAGARI LETTER SSA
  U+0923  'ण'                1   0.00%  DEVANAGARI LETTER NNA
  U+0410  'А'                1   0.00%  CYRILLIC CAPITAL LETTER A
  U+201F  '‟'                1   0.00%  DOUBLE HIGH-REVERSED-9 QUOTATION MARK
  U+1F431  '🐱'                1   0.00%  CAT FACE
  U+0449  'щ'                1   0.00%  CYRILLIC SMALL LETTER SHCHA
  U+0451  'ё'                1   0.00%  CYRILLIC SMALL LETTER IO
  U+0107  'ć'                1   0.00%  LATIN SMALL LETTER C WITH ACUTE
  U+20B5  '₵'                1   0.00%  CEDI SIGN
  U+2691  '⚑'                1   0.00%  BLACK FLAG
  U+2702  '✂'                1   0.00%  BLACK SCISSORS
  U+2B06  '⬆'                1   0.00%  UPWARDS BLACK ARROW
  U+265B  '♛'                1   0.00%  BLACK CHESS QUEEN
  U+271A  '✚'                1   0.00%  HEAVY GREEK CROSS
  U+261E  '☞'                1   0.00%  WHITE RIGHT POINTING INDEX
  U+2650  '♐'                1   0.00%  SAGITTARIUS
  U+21D3  '⇓'                1   0.00%  DOWNWARDS DOUBLE ARROW
  U+017B  'Ż'                1   0.00%  LATIN CAPITAL LETTER Z WITH DOT ABOVE
  U+044D  'э'                1   0.00%  CYRILLIC SMALL LETTER E
  U+0402  'Ђ'                1   0.00%  CYRILLIC CAPITAL LETTER DJE
  U+05E2  'ע'                1   0.00%  HEBREW LETTER AYIN
  U+03C3  'σ'                1   0.00%  GREEK SMALL LETTER SIGMA
  U+059C  '֜'                1   0.00%  HEBREW ACCENT GERESH
  U+1F6E0  '🛠'                1   0.00%  HAMMER AND WRENCH
  U+26A1  '⚡'                1   0.00%  HIGH VOLTAGE SIGN
  U+270F  '✏'                1   0.00%  PENCIL
  U+1F3C3  '🏃'                1   0.00%  RUNNER
  U+1F3AE  '🎮'                1   0.00%  VIDEO GAME
  U+00DC  'Ü'                1   0.00%  LATIN CAPITAL LETTER U WITH DIAERESIS
  U+017A  'ź'                1   0.00%  LATIN SMALL LETTER Z WITH ACUTE
  U+0105  'ą'                1   0.00%  LATIN SMALL LETTER A WITH OGONEK
  U+1F44F  '👏'                1   0.00%  CLAPPING HANDS SIGN
  U+1F62A  '😪'                1   0.00%  SLEEPY FACE
  U+013E  'ľ'                1   0.00%  LATIN SMALL LETTER L WITH CARON
  U+0408  'Ј'                1   0.00%  CYRILLIC CAPITAL LETTER JE
  U+0417  'З'                1   0.00%  CYRILLIC CAPITAL LETTER ZE
  U+0459  'љ'                1   0.00%  CYRILLIC SMALL LETTER LJE
  U+0151  'ő'                1   0.00%  LATIN SMALL LETTER O WITH DOUBLE ACUTE
  U+2021  '‡'                1   0.00%  DOUBLE DAGGER
  U+1235  'ስ'                1   0.00%  ETHIOPIC SYLLABLE SE
  U+121C  'ሜ'                1   0.00%  ETHIOPIC SYLLABLE MEE
  U+1295  'ን'                1   0.00%  ETHIOPIC SYLLABLE NE
  U+1270  'ተ'                1   0.00%  ETHIOPIC SYLLABLE TA
  U+122B  'ራ'                1   0.00%  ETHIOPIC SYLLABLE RAA
  U+122E  'ሮ'                1   0.00%  ETHIOPIC SYLLABLE RO
  U+127D  'ች'                1   0.00%  ETHIOPIC SYLLABLE CE
  U+1F3F4  '🏴'                1   0.00%  WAVING BLACK FLAG
  U+2728  '✨'                1   0.00%  SPARKLES
  U+83AB  '莫'                1   0.00%  CJK UNIFIED IDEOGRAPH-83AB
  U+7CD6  '糖'                1   0.00%  CJK UNIFIED IDEOGRAPH-7CD6
  U+66F4  '更'                1   0.00%  CJK UNIFIED IDEOGRAPH-66F4
  U+5BB9  '容'                1   0.00%  CJK UNIFIED IDEOGRAPH-5BB9
  U+6613  '易'                1   0.00%  CJK UNIFIED IDEOGRAPH-6613
  U+6253  '打'                1   0.00%  CJK UNIFIED IDEOGRAPH-6253
  U+52A8  '动'                1   0.00%  CJK UNIFIED IDEOGRAPH-52A8
  U+6237  '户'                1   0.00%  CJK UNIFIED IDEOGRAPH-6237
  U+8FDB  '进'                1   0.00%  CJK UNIFIED IDEOGRAPH-8FDB
  U+5149  '光'                1   0.00%  CJK UNIFIED IDEOGRAPH-5149
  U+987E  '顾'                1   0.00%  CJK UNIFIED IDEOGRAPH-987E
  U+9009  '选'                1   0.00%  CJK UNIFIED IDEOGRAPH-9009
  U+62E9  '择'                1   0.00%  CJK UNIFIED IDEOGRAPH-62E9
  U+989C  '颜'                1   0.00%  CJK UNIFIED IDEOGRAPH-989C
  U+591A  '多'                1   0.00%  CJK UNIFIED IDEOGRAPH-591A
  U+8F7B  '轻'                1   0.00%  CJK UNIFIED IDEOGRAPH-8F7B
  U+5B66  '学'                1   0.00%  CJK UNIFIED IDEOGRAPH-5B66
  U+751F  '生'                1   0.00%  CJK UNIFIED IDEOGRAPH-751F
  U+6216  '或'                1   0.00%  CJK UNIFIED IDEOGRAPH-6216
  U+8005  '者'                1   0.00%  CJK UNIFIED IDEOGRAPH-8005
  U+662F  '是'                1   0.00%  CJK UNIFIED IDEOGRAPH-662F
  U+5FC3  '心'                1   0.00%  CJK UNIFIED IDEOGRAPH-5FC3
  U+6001  '态'                1   0.00%  CJK UNIFIED IDEOGRAPH-6001
  U+6CFC  '泼'                1   0.00%  CJK UNIFIED IDEOGRAPH-6CFC
  U+8001  '老'                1   0.00%  CJK UNIFIED IDEOGRAPH-8001
  U+7FA4  '群'                1   0.00%  CJK UNIFIED IDEOGRAPH-7FA4
  U+6697  '暗'                1   0.00%  CJK UNIFIED IDEOGRAPH-6697
  U+6C89  '沉'                1   0.00%  CJK UNIFIED IDEOGRAPH-6C89
  U+5F69  '彩'                1   0.00%  CJK UNIFIED IDEOGRAPH-5F69
  U+9002  '适'                1   0.00%  CJK UNIFIED IDEOGRAPH-9002
  U+5408  '合'                1   0.00%  CJK UNIFIED IDEOGRAPH-5408
  U+6E29  '温'                1   0.00%  CJK UNIFIED IDEOGRAPH-6E29
  U+99A8  '馨'                1   0.00%  CJK UNIFIED IDEOGRAPH-99A8
  U+7F8E  '美'                1   0.00%  CJK UNIFIED IDEOGRAPH-7F8E
  U+6EE1  '满'                1   0.00%  CJK UNIFIED IDEOGRAPH-6EE1
  U+8D70  '走'                1   0.00%  CJK UNIFIED IDEOGRAPH-8D70
  U+5411  '向'                1   0.00%  CJK UNIFIED IDEOGRAPH-5411
  U+8FC7  '过'                1   0.00%  CJK UNIFIED IDEOGRAPH-8FC7
  U+7A0B  '程'                1   0.00%  CJK UNIFIED IDEOGRAPH-7A0B
  U+4F7F  '使'                1   0.00%  CJK UNIFIED IDEOGRAPH-4F7F
  U+642D  '搭'                1   0.00%  CJK UNIFIED IDEOGRAPH-642D
  U+914D  '配'                1   0.00%  CJK UNIFIED IDEOGRAPH-914D
  U+529B  '力'                1   0.00%  CJK UNIFIED IDEOGRAPH-529B
  U+523A  '刺'                1   0.00%  CJK UNIFIED IDEOGRAPH-523A
  U+611F  '感'                1   0.00%  CJK UNIFIED IDEOGRAPH-611F
  U+89C9  '觉'                1   0.00%  CJK UNIFIED IDEOGRAPH-89C9
  U+5496  '咖'                1   0.00%  CJK UNIFIED IDEOGRAPH-5496
  U+5561  '啡'                1   0.00%  CJK UNIFIED IDEOGRAPH-5561
  U+6848  '案'                1   0.00%  CJK UNIFIED IDEOGRAPH-6848
  U+663E  '显'                1   0.00%  CJK UNIFIED IDEOGRAPH-663E
  U+73B0  '现'                1   0.00%  CJK UNIFIED IDEOGRAPH-73B0
  U+540C  '同'                1   0.00%  CJK UNIFIED IDEOGRAPH-540C
  U+98CE  '风'                1   0.00%  CJK UNIFIED IDEOGRAPH-98CE
  U+60C5  '情'                1   0.00%  CJK UNIFIED IDEOGRAPH-60C5
  U+1F629  '😩'                1   0.00%  WEARY FACE
  U+1F614  '😔'                1   0.00%  PENSIVE FACE
  U+00FB  'û'                1   0.00%  LATIN SMALL LETTER U WITH CIRCUMFLEX
  U+8D85  '超'                1   0.00%  CJK UNIFIED IDEOGRAPH-8D85
  U+8584  '薄'                1   0.00%  CJK UNIFIED IDEOGRAPH-8584
  U+5B89  '安'                1   0.00%  CJK UNIFIED IDEOGRAPH-5B89
  U+5168  '全'                1   0.00%  CJK UNIFIED IDEOGRAPH-5168
  U+5957  '套'                1   0.00%  CJK UNIFIED IDEOGRAPH-5957
  U+9AD8  '高'                1   0.00%  CJK UNIFIED IDEOGRAPH-9AD8
  U+6F6E  '潮'                1   0.00%  CJK UNIFIED IDEOGRAPH-6F6E
  U+6DB2  '液'                1   0.00%  CJK UNIFIED IDEOGRAPH-6DB2
  U+00C7  'Ç'                1   0.00%  LATIN CAPITAL LETTER C WITH CEDILLA
  U+25BC  '▼'                2   0.00%  BLACK DOWN-POINTING TRIANGLE
  U+02C8  'ˈ'                2   0.00%  MODIFIER LETTER VERTICAL LINE
  U+00B6  '¶'                2   0.00%  PILCROW SIGN
  U+05D5  'ו'                2   0.00%  HEBREW LETTER VAV
  U+05E9  'ש'                2   0.00%  HEBREW LETTER SHIN
  U+2265  '≥'                2   0.00%  GREATER-THAN OR EQUAL TO
  U+2764  '❤'                2   0.00%  HEAVY BLACK HEART
  U+06C1  'ہ'                2   0.00%  ARABIC LETTER HEH GOAL
  U+548C  '和'                2   0.00%  CJK UNIFIED IDEOGRAPH-548C
  U+6837  '样'                2   0.00%  CJK UNIFIED IDEOGRAPH-6837
  U+1F4B4  '💴'                2   0.00%  BANKNOTE WITH YEN SIGN
  U+1F48E  '💎'                2   0.00%  GEM STONE
  U+00EE  'î'                2   0.00%  LATIN SMALL LETTER I WITH CIRCUMFLEX
  U+017E  'ž'                2   0.00%  LATIN SMALL LETTER Z WITH CARON
  U+0421  'С'                2   0.00%  CYRILLIC CAPITAL LETTER ES
  U+044E  'ю'                2   0.00%  CYRILLIC SMALL LETTER YU
  U+2020  '†'                2   0.00%  DAGGER
  U+0915  'क'                2   0.00%  DEVANAGARI LETTER KA
  U+0902  'ं'                2   0.00%  DEVANAGARI SIGN ANUSVARA
  U+1E43  'ṃ'                2   0.00%  LATIN SMALL LETTER M WITH DOT BELOW
  U+093F  'ि'                2   0.00%  DEVANAGARI VOWEL SIGN I
  U+0947  'े'                2   0.00%  DEVANAGARI VOWEL SIGN E
  U+2248  '≈'                2   0.00%  ALMOST EQUAL TO
  U+0420  'Р'                2   0.00%  CYRILLIC CAPITAL LETTER ER
  U+0454  'є'                2   0.00%  CYRILLIC SMALL LETTER UKRAINIAN IE
  U+270C  '✌'                2   0.00%  VICTORY HAND
  U+0429  'Щ'                2   0.00%  CYRILLIC CAPITAL LETTER SHCHA
  U+041B  'Л'                2   0.00%  CYRILLIC CAPITAL LETTER EL
  U+B3D9  '동'                2   0.00%  HANGUL SYLLABLE DONG
  U+BCF5  '복'                2   0.00%  HANGUL SYLLABLE BOG
  U+CC9C  '천'                2   0.00%  HANGUL SYLLABLE CEON
  U+0412  'В'                2   0.00%  CYRILLIC CAPITAL LETTER VE
  U+0E07  'ง'                2   0.00%  THAI CHARACTER NGO NGU
  U+0E49  '้'                2   0.00%  THAI CHARACTER MAI THO
  U+0E1C  'ผ'                2   0.00%  THAI CHARACTER PHO PHUNG
  U+0E37  'ื'                2   0.00%  THAI CHARACTER SARA UEE
  U+0E47  '็'                2   0.00%  THAI CHARACTER MAITAIKHU
  U+0E15  'ต'                2   0.00%  THAI CHARACTER TO TAO
  U+0E4C  '์'                2   0.00%  THAI CHARACTER THANTHAKHAT
  U+0E42  'โ'                2   0.00%  THAI CHARACTER SARA O
  U+0E34  'ิ'                2   0.00%  THAI CHARACTER SARA I
  U+0E23  'ร'                2   0.00%  THAI CHARACTER RO RUA
  U+20B9  '₹'                2   0.00%  INDIAN RUPEE SIGN
  U+30D5  'フ'                2   0.00%  KATAKANA LETTER HU
  U+00C1  'Á'                2   0.00%  LATIN CAPITAL LETTER A WITH ACUTE
  U+0632  'ز'                2   0.00%  ARABIC LETTER ZAIN
  U+0141  'Ł'                2   0.00%  LATIN CAPITAL LETTER L WITH STROKE
  U+30BE  'ゾ'                2   0.00%  KATAKANA LETTER ZO
  U+308A  'り'                2   0.00%  HIRAGANA LETTER RI
  U+306E  'の'                2   0.00%  HIRAGANA LETTER NO
  U+1F49C  '💜'                2   0.00%  PURPLE HEART
  U+2648  '♈'                2   0.00%  ARIES
  U+30FC  'ー'                2   0.00%  KATAKANA-HIRAGANA PROLONGED SOUND MARK
  U+3059  'す'                2   0.00%  HIRAGANA LETTER SU
  U+3057  'し'                2   0.00%  HIRAGANA LETTER SI
  U+1F60B  '😋'                2   0.00%  FACE SAVOURING DELICIOUS FOOD
  U+09BE  'া'                2   0.00%  BENGALI VOWEL SIGN AA
  U+09A8  'ন'                2   0.00%  BENGALI LETTER NA
  U+09A4  'ত'                2   0.00%  BENGALI LETTER TA
  U+09B0  'র'                2   0.00%  BENGALI LETTER RA
  U+09BF  'ি'                2   0.00%  BENGALI VOWEL SIGN I
  U+09B6  'শ'                2   0.00%  BENGALI LETTER SHA
  U+042D  'Э'                2   0.00%  CYRILLIC CAPITAL LETTER E
  U+0111  'đ'                2   0.00%  LATIN SMALL LETTER D WITH STROKE
  U+FE0E  '︎'                2   0.00%  VARIATION SELECTOR-15
  U+264F  '♏'                2   0.00%  SCORPIUS
  U+2651  '♑'                2   0.00%  CAPRICORN
  U+039B  'Λ'                2   0.00%  GREEK CAPITAL LETTER LAMDA
  U+2190  '←'                2   0.00%  LEFTWARDS ARROW
  U+05B7  'ַ'                2   0.00%  HEBREW POINT PATAH
  U+1F602  '😂'                2   0.00%  FACE WITH TEARS OF JOY
  U+4E3A  '为'                2   0.00%  CJK UNIFIED IDEOGRAPH-4E3A
  U+4E86  '了'                2   0.00%  CJK UNIFIED IDEOGRAPH-4E86
  U+5E08  '师'                2   0.00%  CJK UNIFIED IDEOGRAPH-5E08
  U+4EAE  '亮'                2   0.00%  CJK UNIFIED IDEOGRAPH-4EAE
  U+773C  '眼'                2   0.00%  CJK UNIFIED IDEOGRAPH-773C
  U+5E74  '年'                2   0.00%  CJK UNIFIED IDEOGRAPH-5E74
  U+6D3B  '活'                2   0.00%  CJK UNIFIED IDEOGRAPH-6D3B
  U+5728  '在'                2   0.00%  CJK UNIFIED IDEOGRAPH-5728
  U+800C  '而'                2   0.00%  CJK UNIFIED IDEOGRAPH-800C
  U+017D  'Ž'                2   0.00%  LATIN CAPITAL LETTER Z WITH CARON
  U+279C  '➜'                3   0.00%  HEAVY ROUND-TIPPED RIGHTWARDS ARROW
  U+014C  'Ō'                3   0.00%  LATIN CAPITAL LETTER O WITH MACRON
  U+014D  'ō'                3   0.00%  LATIN SMALL LETTER O WITH MACRON
  U+00C3  'Ã'                3   0.00%  LATIN CAPITAL LETTER A WITH TILDE
  U+0160  'Š'                3   0.00%  LATIN CAPITAL LETTER S WITH CARON
  U+0628  'ب'                3   0.00%  ARABIC LETTER BEH
  U+7528  '用'                3   0.00%  CJK UNIFIED IDEOGRAPH-7528
  U+4F8B  '例'                3   0.00%  CJK UNIFIED IDEOGRAPH-4F8B
  U+0447  'ч'                3   0.00%  CYRILLIC SMALL LETTER CHE
  U+041F  'П'                3   0.00%  CYRILLIC CAPITAL LETTER PE
  U+1F4B5  '💵'                3   0.00%  BANKNOTE WITH DOLLAR SIGN
  U+2605  '★'                3   0.00%  BLACK STAR
  U+2015  '―'                3   0.00%  HORIZONTAL BAR
  U+093E  'ा'                3   0.00%  DEVANAGARI VOWEL SIGN AA
  U+0439  'й'                3   0.00%  CYRILLIC SMALL LETTER SHORT I
  U+015F  'ş'                3   0.00%  LATIN SMALL LETTER S WITH CEDILLA
  U+25AA  '▪'                3   0.00%  BLACK SMALL SQUARE
  U+0E21  'ม'                3   0.00%  THAI CHARACTER MO MA
  U+0E14  'ด'                3   0.00%  THAI CHARACTER DO DEK
  U+0E2A  'ส'                3   0.00%  THAI CHARACTER SO SUA
  U+0E04  'ค'                3   0.00%  THAI CHARACTER KHO KHWAI
  U+0456  'і'                3   0.00%  CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
  U+2010  '‐'                3   0.00%  HYPHEN
  U+0641  'ف'                3   0.00%  ARABIC LETTER FEH
  U+062A  'ت'                3   0.00%  ARABIC LETTER TEH
  U+03B5  'ε'                3   0.00%  GREEK SMALL LETTER EPSILON
  U+00EF  'ï'                3   0.00%  LATIN SMALL LETTER I WITH DIAERESIS
  U+0142  'ł'                3   0.00%  LATIN SMALL LETTER L WITH STROKE
  U+015E  'Ş'                3   0.00%  LATIN CAPITAL LETTER S WITH CEDILLA
  U+5BA2  '客'                3   0.00%  CJK UNIFIED IDEOGRAPH-5BA2
